,Name,운영체제(OS),CPU,램,그래픽,저장장치,파워,무게(kg),PD충전,CPU_Score,GPU_Score,inch,ppi,Screen_Brightness,Screen_Refresh_Rate,Manufacturer,Value_Point,Value_for_Money_Point,Price_won
22,ASUS ROG STRIX G18 G814JV-N6069OS,미포함(프리도스),인텔 / 코어i7-13세대 / i7-13650HX (2.6GHz) / 14코어(6P+8E),DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4060 / TGP: 140W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 280W / 충전단자: DC,3.0,USB-PD,32021.0,6982.0,18.0,122.0,500.0,240.0,ASUS,6.174435004591429,277.91113252246805,2221730.0
23,ASUS ROG 제피러스 G14 GA402XI-N2042,미포함(프리도스),AMD / 라이젠9(Zen4) / 7940HS (4.0Hz) / 옥타(8)코어,DR5 / 램 용량: 16GB / 램 교체: 가능(1슬롯),외장그래픽 / RTX4070 / TGP: 125W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 1개,배터리: 76Wh / 어댑터: 240W / 충전단자: DC,1.65,USB-PD,28435.0,9755.0,14.0,157.0,500.0,165.0,ASUS,6.339646959918833,264.2995238974608,2398660.0
24,ASUS ROG 제피러스 G14 GA402XU-N2055,미포함(프리도스),AMD / 라이젠9(Zen4) / 7940HS (4.0Hz) / 옥타(8)코어,DR5 / 램 용량: 16GB / 램 교체: 가능(1슬롯),외장그래픽 / RTX4050 / TGP: 120W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 1개,배터리: 76Wh / 어댑터: 240W / 충전단자: DC,1.65,USB-PD,28435.0,6051.0,14.0,157.0,500.0,165.0,ASUS,6.203542544609291,324.95953654803463,1909020.0
25,ASUS ROG 제피러스 G15 GA503RM-HQ060,미포함(프리도스),AMD / 라이젠7-5세대 / 6800HS (3.2GHz) / 옥타(8)코어,DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능(1슬롯),외장그래픽 / RTX3060 / TGP: 120W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 200W / 충전단자: DC,1.9,USB-PD,22624.0,6697.0,15.6,141.0,300.0,165.0,ASUS,6.226453929951873,436.91040901768093,1425110.0
26,ASUS ROG 제피러스 G16 GU603VV-N4051,미포함(프리도스),인텔 / 코어i9-13세대 / i9-13900H (2.6GHz) / 14코어(6P+8E),DR4 / 램 용량: 16GB / 3200MHz / 램 교체: 가능(1슬롯),외장그래픽 / RTX4060 / TGP: 120W / VRAM:8GB,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.0,USB-PD,30294.0,1445.0,16.0,138.0,500.0,240.0,ASUS,6.216866508083593,286.1842587490664,2172330.0
27,ASUS ROG 제피러스 M16 GU603ZX-K8001W,윈도우11홈,인텔 / 코어i9-12세대 / i9-12900H (2.5GHz) / 14코어(6P+8E),DR5 / 램 용량: 32GB / 4800MHz / 램 교체: 가능(1슬롯),외장그래픽 / RTX3080 Ti / TGP: 120W / VRAM:16GB / MUX 스위치,M.2(NVMe) / 2TB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,1.9,USB-PD,28146.0,9952.0,16.0,138.0,500.0,165.0,ASUS,6.719463121803012,273.3722725398806,2547990.0
28,ASUS ROG 제피러스 듀오 16 GX650RS-LB043W,윈도우11홈,AMD / 라이젠9-5세대 / 6900HX (3.3GHz) / 옥타(8)코어,DR5 / 램 용량: 32GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX3080 / TGP: 150W / VRAM:8GB / MUX 스위치,M.2(NVMe) / 2TB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 280W / 충전단자: DC,2.55,USB-PD,24924.0,9952.0,16.0,138.0,500.0,120.0,ASUS,6.689865195674022,265.29187435753744,2611700.0
29,ASUS ROG 제피러스 듀오 16 GX650RX-LB152W,윈도우11홈,AMD / 라이젠9-5세대 / 6900HX (3.3GHz) / 옥타(8)코어,DR5 / 램 용량: 32GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX3080 Ti / TGP: 150W / VRAM:16GB / MUX 스위치,M.2(NVMe) / 4TB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 280W / 충전단자: DC,2.55,USB-PD,24924.0,9952.0,16.0,138.0,500.0,120.0,ASUS,6.8560885999293415,255.91969391300267,2769000.0
30,ASUS TUF Gaming A15 FA507NU-R7735D,미포함(프리도스),AMD / 라이젠7(Zen3+) / 7735HS (3.2Hz) / 옥타(8)코어,DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX4050 / TGP: 140W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.2,USB-PD,24162.0,6051.0,15.6,141.0,250.0,144.0,ASUS,6.049331041243243,520.7936775752645,1161560.0
31,ASUS TUF Gaming A15 FA507RM-HN058,미포함(프리도스),AMD / 라이젠7-5세대 / 6800H (3.2GHz) / 옥타(8)코어,DR5 / 램 용량: 16GB / 4800MHz / 램 교체: 가능,외장그래픽 / RTX3060 / TGP: 140W / VRAM:6GB / MUX 스위치,M.2(NVMe) / 512GB / 저장 슬롯: 2개,배터리: 90Wh / 어댑터: 240W / 충전단자: DC,2.2,,22624.0,6697.0,15.6,141.0,250.0,144.0,ASUS,6.052927039060441,550.7667915432612,1099000.0
